Style_id,Yarn_ID,BOM_Percent,unit
12636/01AB,13258,0.5,lbs
12636/01AC,,0,lbs
12636/01AC,14088,0.49,lbs
12636/01AC,14191,0.5,lbs
12636/01U,,0,lbs
12636/01U,13258,0.47,lbs
12636/01U,13259,0.52,lbs
12636/01V,,0,lbs
12636/01V,13254,0.47,lbs
12636/01V,13258,0.52,lbs
12636/01W,,0,lbs
12636/01W,14181,0.52,lbs
12636/01W,14184,0.47,lbs
12636/01Y,,0,lbs
12636/01Y,13254,0.47,lbs
12636/01Y,14398,0.52,lbs
12637/01U,,0,lbs
12637/01U,13737,0.48,lbs
12637/01U,14187,0.51,lbs
12951/01,,0,lbs
12951/01,13244,0.01,lbs
12951/01,13366,0.34,lbs
12951/01,13565,0.11,lbs
12951/01,14084,0.25,lbs
12951/01,18062,0.02,lbs
12956/01A,,0,lbs
12956/01A,11697,0.01,lbs
12956/01A,12463,0.41,lbs
12956/01A,13565,0.09,lbs
12956/01A,14081,0.22,lbs
12956/01A,18062,0.02,lbs
12999/01,,0,lbs
12999/01,10024,0.31,lbs
12999/01,11697,0.02,lbs
12999/01,11762,0.51,lbs
12999/01,13650,0.11,lbs
12999/01,18062,0.03,lbs
13000/01,,0,lbs
13000/01,11697,0.02,lbs
13000/01,11762,0.46,lbs
13000/01,12463,0.38,lbs
13000/01,13650,0.1,lbs
13000/01,18062,0.02,lbs
130000/33P,,0,lbs
130000/33P,10677,0.25,lbs
130000/33P,10677,0.56,lbs
130000/33P,13234,0.18,lbs
13034/01,,0,lbs
13034/01,10024,0.31,lbs
13034/01,11697,0.02,lbs
13034/01,12124,0.51,lbs
13034/01,13650,0.11,lbs
13034/01,18062,0.03,lbs
13089/01A,,0,lbs
13089/01A,13250,0.52,lbs
13089/01A,13254,0.47,lbs
13089/01C,,0,lbs
13089/01C,13527,0.51,lbs
13089/01C,13737,0.49,lbs
13089/01D,,0,lbs
13089/01D,13527,0.52,lbs
13089/01D,13737,0.47,lbs
13124/01A,,0,lbs
13124/01A,11762,0.56,lbs
13124/01A,13650,0.1,lbs
13124/01A,14279,0.29,lbs
13124/01A,14280,0.01,lbs
13124/01A,18062,0.02,lbs
13124/01B,,0,lbs
13124/01B,11762,0.56,lbs
13124/01B,13650,0.1,lbs
13124/01B,14279,0.29,lbs
13124/01B,14280,0.01,lbs
13124/01B,18062,0.02,lbs
13124/01C,,0,lbs
13124/01C,11762,0.56,lbs
13124/01C,13650,0.1,lbs
13124/01C,14279,0.29,lbs
13124/01C,14280,0.01,lbs
13124/01C,18062,0.02,lbs
13141/01A,,0,lbs
13141/01A,10024,0.41,lbs
13141/01A,11697,0.02,lbs
13141/01A,13649,0.36,lbs
13141/01A,13650,0.15,lbs
13141/01A,18062,0.04,lbs
13142/01A,,0,lbs
13142/01A,10024,0.43,lbs
13142/01A,11697,0.02,lbs
13142/01A,13649,0.35,lbs
13142/01A,13650,0.15,lbs
13142/01A,18062,0.03,lbs
13164/01A,,0,lbs
13164/01A,13567,0.11,lbs
13164/01A,13737,0.5,lbs
13164/01A,14279,0.34,lbs
13164/01A,14280,0.01,lbs
13164/01A,18062,0.02,lbs
13236/01A,,0,lbs
13236/01A,13527,0.5,lbs
13236/01A,14188,0.5,lbs
13287/01A,,0,lbs
13287/01A,11762,0.25,lbs
13287/01A,13650,0.12,lbs
13287/01A,14279,0.31,lbs
13287/01A,14280,0.02,lbs
13287/01A,18062,0.03,lbs
13294/01A,,0,lbs
13294/01A,13527,0.5,lbs
13294/01A,14188,0.5,lbs
13388/01A,,0,lbs
13388/01A,13649,0.12,lbs
13388/01A,14279,0.3,lbs
13388/01A,14280,0.01,lbs
13388/01A,14318,0.53,lbs
13388/01A,18062,0.02,lbs
13865/01,,0,lbs
13865/01,13567,0.11,lbs
13865/01,14084,0.26,lbs
13865/01,14279,0.31,lbs
13865/01,14280,0.01,lbs
13865/01,18062,0.02,lbs
13865/01L,,0,lbs
13865/01L,11530,0.26,lbs
13865/01L,13620,0.11,lbs
13865/01L,14279,0.31,lbs
13865/01L,14280,0.01,lbs
13865/01L,14410,0.26,lbs
13865/01L,18062,0.02,lbs
1418/0,,0,lbs
1418/0,13560,0.12,lbs
1418/0,18685,0.87,lbs
1418/P,,0,lbs
1418/P,13560,0.12,lbs
1418/P,18779,0.87,lbs
1418/PC,,0,lbs
1418/PC,14415,0.12,lbs
1418/PC,18779,0.87,lbs
14258/01A,,0,lbs
14258/01A,11762,0.26,lbs
14258/01A,11762,0.27,lbs
14258/01A,13650,0.1,lbs
14258/01A,14279,0.31,lbs
14258/01A,14280,0.01,lbs
14258/01A,18062,0.02,lbs
14259/01A,,0,lbs
14259/01A,11762,0.26,lbs
14259/01A,11762,0.27,lbs
14259/01A,13650,0.1,lbs
14259/01A,14279,0.31,lbs
14259/01A,14280,0.01,lbs
14259/01A,18062,0.02,lbs
1474/0,,0,lbs
1474/0,14245,0.91,lbs
1474/0,8665,0.08,lbs
1474/582L,,0,lbs
1474/582L,14245,0.92,lbs
1474/582L,14679,0.08,lbs
14891/01A,,0,lbs
14891/01A,13254,0.3,lbs
14891/01A,13565,0.14,lbs
14891/01A,14279,0.18,lbs
14891/01A,14280,0.02,lbs
14891/01A,18062,0.03,lbs
14891/01H,,0,lbs
14891/01H,13527,0.3,lbs
14891/01H,13565,0.14,lbs
14891/01H,14279,0.18,lbs
14891/01H,14280,0.02,lbs
14891/01H,18062,0.03,lbs
1538745/4060O,,0,lbs
1538745/4060O,9861,1,lbs
1538745/4060S,,0,lbs
1538745/4060S,4005,1,lbs
1540009/5254,,0,lbs
1540009/5254,4009,0.7,lbs
1540009/5254,9861,0.29,lbs
1540009/5254I,,0,lbs
1540009/5254I,4005,0.32,lbs
1540009/5254I,9536,0.67,lbs
1540009/5254X,,0,lbs
1540009/5254X,4005,0.29,lbs
1540009/5254X,4009,0.7,lbs
1552/0,,0,lbs
1552/0,13560,0.13,lbs
1552/0,18771,0.86,lbs
15544/01A,,0,lbs
15544/01A,13254,0.48,lbs
15544/01A,13258,0.5,lbs
15544/01A,5586,0,lbs
15545/01A,,0,lbs
15545/01A,13254,0.48,lbs
15545/01A,13258,0.49,lbs
15545/01A,13560,0.01,lbs
15546/01A,,0,lbs
15546/01A,13254,0.48,lbs
15546/01A,13258,0.5,lbs
15546/01A,13560,0,lbs
15547/01A,,0,lbs
15547/01A,13254,0.48,lbs
15547/01A,13258,0.5,lbs
15547/01A,14061,0,lbs
15547/01T,,0,lbs
15547/01T,13259,0.5,lbs
15547/01T,14061,0,lbs
15547/01T,14411,0.48,lbs
15547/01U,,0,lbs
15547/01U,11762,0.5,lbs
15547/01U,13259,0.48,lbs
15547/01U,14061,0,lbs
15548/01A,,0,lbs
15548/01A,12578,0.02,lbs
15548/01A,13254,0.48,lbs
15548/01A,13258,0.49,lbs
15549/01A,,0,lbs
15549/01A,13254,0.49,lbs
15549/01A,13258,0.5,lbs
15583/01A,,0,lbs
15583/01A,13407,0.11,lbs
15583/01A,13527,0.27,lbs
15583/01A,14279,0.28,lbs
15583/01A,14280,0.01,lbs
15583/01A,18062,0.02,lbs
15583/W,,0,lbs
15583/W,13407,0.11,lbs
15583/W,13527,0.27,lbs
15583/W,14279,0.28,lbs
15583/W,14280,0.01,lbs
15583/W,18062,0.02,lbs
15584/01A,,0,lbs
15584/01A,13527,0.28,lbs
15584/01A,13527,0.29,lbs
15584/01A,13565,0.16,lbs
15584/01A,14279,0.19,lbs
15584/01A,14280,0.02,lbs
15584/01A,18062,0.03,lbs
15584/01B,,0,lbs
15584/01B,13258,0.28,lbs
15584/01B,13258,0.29,lbs
15584/01B,13567,0.16,lbs
15584/01B,14279,0.19,lbs
15584/01B,14280,0.02,lbs
15584/01B,18062,0.03,lbs
15584/01C,,0,lbs
15584/01C,13258,0.28,lbs
15584/01C,13258,0.29,lbs
15584/01C,13407,0.16,lbs
15584/01C,14279,0.19,lbs
15584/01C,14280,0.02,lbs
15584/01C,18062,0.03,lbs
15584/01D,,0,lbs
15584/01D,13250,0.28,lbs
15584/01D,13250,0.29,lbs
15584/01D,13565,0.16,lbs
15584/01D,14279,0.19,lbs
15584/01D,14280,0.02,lbs
15584/01D,18062,0.03,lbs
