Style,Yarn,Percentage,This Week,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Later,Total
910001/ST2,18758,25.5,464.0,464.0,211.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,139.4"
910001/ST2,18869,24.3,442.2,442.2,201.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,085.8"
BK 5425/1,10027,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,91.4
BK 5425/1,10153,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.8,417.8
BK 5425/1,10795,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.8,553.8
BK 7215/6020M,14734,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,105.6
BK 7215/6020M,19081,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2,747.2
BK 7215/6020M,19082,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2,747.2
BK 8101/0,11409,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
BK 8101/0,18341,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8,47.8
BK 8101/0,18344,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,48.5
C1B3194/1D,18598,45.7,0.0,0.0,"1,100.2","1,100.2",541.6,0.0,0.0,0.0,0.0,90.0,"2,832.0"
C1B3194/1D,18894,54.3,0.0,0.0,"1,307.2","1,307.2",643.5,0.0,0.0,0.0,0.0,107.0,"3,365.0"
C1B3195/1B,18594,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.2,196.2
C1B3195/1B,18620,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,51.1
C1B3195/1B,18646,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,81.5
C1B3195/1B,18763,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.4,150.4
C1B3195/1B,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9
C1B3799/2A,12526,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.6,481.6
C1B3799/2A,18376,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.6,747.6
C1B3799/2A,18667,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.5,306.5
C1B3799/2A,19003,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.2,148.2
C1B3917/1B,18414,30.1,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,301.0
C1B3917/1B,18763,18.3,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,183.0
C1B3917/1B,18893,11.7,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,117.0
C1B3917/1B,18894,11.3,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,113.0
C1B3917/1B,18900,28.6,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,286.0
C1B3941/1C,18414,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.5,376.5
C1B3941/1C,18763,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,258.0
C1B3941/1C,18832,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,414.0
C1B3941/1C,18893,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.5,253.5
C1B3941/1C,18894,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,198.0
C1B4014-42/1AT,18363,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.9,499.9
C1B4014-42/1AT,18594,45.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,068.1","2,068.1"
C1B4014-42/1AT,18763,37.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,696.0","1,696.0"
C1B4014-42/1AT,18929,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,30.7
C1B4014-42/1AT,19003,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.3,283.3
C1B4033/1B,12526,12.5,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,125.0
C1B4033/1B,18376,39,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,390.0
C1B4033/1B,18763,24.9,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,249.0
